"trainer/global_step","Group: bpe-conversion - _step","Group: bpe-conversion - _step__MIN","Group: bpe-conversion - _step__MAX","Group: bpe-conversion - validation/loss_epoch","Group: bpe-conversion - validation/loss_epoch__MIN","Group: bpe-conversion - validation/loss_epoch__MAX","Group: bpe-2 - _step","Group: bpe-2 - _step__MIN","Group: bpe-2 - _step__MAX","Group: bpe-2 - validation/loss_epoch","Group: bpe-2 - validation/loss_epoch__MIN","Group: bpe-2 - validation/loss_epoch__MAX","Group: bpe-knockout-2 - _step","Group: bpe-knockout-2 - _step__MIN","Group: bpe-knockout-2 - _step__MAX","Group: bpe-knockout-2 - validation/loss_epoch","Group: bpe-knockout-2 - validation/loss_epoch__MIN","Group: bpe-knockout-2 - validation/loss_epoch__MAX"
"93","","","","","","","3893","3893","3893","8.8032808303833","8.8032808303833","8.8032808303833","3893","3893","3893","7.297901153564453","7.297901153564453","7.297901153564453"
"187","","","","","","","7788","7788","7788","7.465775489807129","7.465775489807129","7.465775489807129","7788","7788","7788","6.777677536010742","6.777677536010742","6.777677536010742"
"281","","","","","","","11683","11683","11683","7.04359769821167","7.04359769821167","7.04359769821167","11683","11683","11683","6.549995422363281","6.549995422363281","6.549995422363281"
"374","","","","","","","15578","15578","15578","6.808318614959717","6.808318614959717","6.808318614959717","15578","15578","15578","6.3701019287109375","6.3701019287109375","6.3701019287109375"
"468","","","","","","","19472","19472","19472","6.604983329772949","6.604983329772949","6.604983329772949","19472","19472","19472","6.2148895263671875","6.2148895263671875","6.2148895263671875"
"562","","","","","","","23367","23367","23367","6.4132771492004395","6.4132771492004395","6.4132771492004395","23367","23367","23367","6.056208610534668","6.056208610534668","6.056208610534668"
"656","","","","","","","27262","27262","27262","6.2149577140808105","6.2149577140808105","6.2149577140808105","27262","27262","27262","5.859554290771484","5.859554290771484","5.859554290771484"
"749","","","","","","","31157","31157","31157","5.910552024841309","5.910552024841309","5.910552024841309","31157","31157","31157","5.6476850509643555","5.6476850509643555","5.6476850509643555"
"843","","","","","","","35051","35051","35051","5.468071937561035","5.468071937561035","5.468071937561035","35051","35051","35051","5.361629962921143","5.361629962921143","5.361629962921143"
"937","","","","","","","38946","38946","38946","5.114161491394043","5.114161491394043","5.114161491394043","38946","38946","38946","4.964917182922363","4.964917182922363","4.964917182922363"
"1031","","","","","","","42841","42841","42841","4.86989688873291","4.86989688873291","4.86989688873291","42841","42841","42841","4.580637454986572","4.580637454986572","4.580637454986572"
"1124","","","","","","","46736","46736","46736","4.6794257164001465","4.6794257164001465","4.6794257164001465","46736","46736","46736","4.333308696746826","4.333308696746826","4.333308696746826"
"1218","","","","","","","50630","50630","50630","4.514946937561035","4.514946937561035","4.514946937561035","50630","50630","50630","4.136054039001465","4.136054039001465","4.136054039001465"
"1312","","","","","","","54525","54525","54525","4.372380256652832","4.372380256652832","4.372380256652832","54525","54525","54525","3.9908857345581055","3.9908857345581055","3.9908857345581055"
"1406","","","","","","","58420","58420","58420","4.236450672149658","4.236450672149658","4.236450672149658","58420","58420","58420","3.8468966484069824","3.8468966484069824","3.8468966484069824"
"1499","","","","","","","62315","62315","62315","4.117798328399658","4.117798328399658","4.117798328399658","62315","62315","62315","3.7185726165771484","3.7185726165771484","3.7185726165771484"
"1593","","","","","","","66209","66209","66209","3.9935593605041504","3.9935593605041504","3.9935593605041504","66209","66209","66209","3.5919723510742188","3.5919723510742188","3.5919723510742188"
"1687","","","","","","","70104","70104","70104","3.8875789642333984","3.8875789642333984","3.8875789642333984","70104","70104","70104","3.489297866821289","3.489297866821289","3.489297866821289"
"1781","","","","","","","73999","73999","73999","3.7811946868896484","3.7811946868896484","3.7811946868896484","73999","73999","73999","3.3925185203552246","3.3925185203552246","3.3925185203552246"
"1874","","","","","","","77894","77894","77894","3.6933114528656006","3.6933114528656006","3.6933114528656006","77894","77894","77894","3.31577730178833","3.31577730178833","3.31577730178833"
"1968","","","","","","","81788","81788","81788","3.6099565029144287","3.6099565029144287","3.6099565029144287","81788","81788","81788","3.2459001541137695","3.2459001541137695","3.2459001541137695"
"2062","","","","","","","85683","85683","85683","3.538670539855957","3.538670539855957","3.538670539855957","85683","85683","85683","3.1804027557373047","3.1804027557373047","3.1804027557373047"
"2156","","","","","","","89578","89578","89578","3.4768447875976562","3.4768447875976562","3.4768447875976562","89578","89578","89578","3.1270735263824463","3.1270735263824463","3.1270735263824463"
"2249","","","","","","","93473","93473","93473","3.4052822589874268","3.4052822589874268","3.4052822589874268","93473","93473","93473","3.058544874191284","3.058544874191284","3.058544874191284"
"2343","","","","","","","97367","97367","97367","3.3529410362243652","3.3529410362243652","3.3529410362243652","97367","97367","97367","3.0171115398406982","3.0171115398406982","3.0171115398406982"
"2437","","","","","","","101262","101262","101262","3.2880218029022217","3.2880218029022217","3.2880218029022217","101262","101262","101262","2.9700188636779785","2.9700188636779785","2.9700188636779785"
"2531","","","","","","","105157","105157","105157","3.2526423931121826","3.2526423931121826","3.2526423931121826","105157","105157","105157","2.9302451610565186","2.9302451610565186","2.9302451610565186"
"2624","","","","","","","109052","109052","109052","3.2027177810668945","3.2027177810668945","3.2027177810668945","109052","109052","109052","2.89518141746521","2.89518141746521","2.89518141746521"
"2718","","","","","","","112946","112946","112946","3.156921625137329","3.156921625137329","3.156921625137329","112946","112946","112946","2.8559038639068604","2.8559038639068604","2.8559038639068604"
"2812","","","","","","","116841","116841","116841","3.116011142730713","3.116011142730713","3.116011142730713","116841","116841","116841","2.823068141937256","2.823068141937256","2.823068141937256"
"2906","","","","","","","120736","120736","120736","3.0810089111328125","3.0810089111328125","3.0810089111328125","120736","120736","120736","2.794868230819702","2.794868230819702","2.794868230819702"
"2999","","","","","","","124631","124631","124631","3.043785810470581","3.043785810470581","3.043785810470581","124631","124631","124631","2.769012212753296","2.769012212753296","2.769012212753296"
"3093","","","","","","","128525","128525","128525","3.008688449859619","3.008688449859619","3.008688449859619","128525","128525","128525","2.7262628078460693","2.7262628078460693","2.7262628078460693"
"3187","","","","","","","132420","132420","132420","2.9758310317993164","2.9758310317993164","2.9758310317993164","132420","132420","132420","2.6944520473480225","2.6944520473480225","2.6944520473480225"
"3281","","","","","","","136315","136315","136315","2.9402451515197754","2.9402451515197754","2.9402451515197754","136315","136315","136315","2.666729688644409","2.666729688644409","2.666729688644409"
"3374","","","","","","","140210","140210","140210","2.914025068283081","2.914025068283081","2.914025068283081","140210","140210","140210","2.651442766189575","2.651442766189575","2.651442766189575"
"3468","","","","","","","144104","144104","144104","2.871185064315796","2.871185064315796","2.871185064315796","144104","144104","144104","2.6326403617858887","2.6326403617858887","2.6326403617858887"
"3562","","","","","","","147999","147999","147999","2.849943161010742","2.849943161010742","2.849943161010742","147999","147999","147999","2.5998032093048096","2.5998032093048096","2.5998032093048096"
"3656","","","","","","","151894","151894","151894","2.8289976119995117","2.8289976119995117","2.8289976119995117","151894","151894","151894","2.585646152496338","2.585646152496338","2.585646152496338"
"3749","","","","","","","155789","155789","155789","2.8000903129577637","2.8000903129577637","2.8000903129577637","155789","155789","155789","2.5603842735290527","2.5603842735290527","2.5603842735290527"
"3843","","","","","","","159683","159683","159683","2.778456449508667","2.778456449508667","2.778456449508667","159683","159683","159683","2.5387215614318848","2.5387215614318848","2.5387215614318848"
"3937","","","","","","","163578","163578","163578","2.755526304244995","2.755526304244995","2.755526304244995","163578","163578","163578","2.5167088508605957","2.5167088508605957","2.5167088508605957"
"4031","","","","","","","167473","167473","167473","2.73732852935791","2.73732852935791","2.73732852935791","167473","167473","167473","2.4968996047973633","2.4968996047973633","2.4968996047973633"
"4124","","","","","","","171368","171368","171368","2.7135331630706787","2.7135331630706787","2.7135331630706787","171368","171368","171368","2.490971803665161","2.490971803665161","2.490971803665161"
"4218","","","","","","","175262","175262","175262","2.684697389602661","2.684697389602661","2.684697389602661","175262","175262","175262","2.4542136192321777","2.4542136192321777","2.4542136192321777"
"4312","","","","","","","179157","179157","179157","2.661264181137085","2.661264181137085","2.661264181137085","179157","179157","179157","2.4405558109283447","2.4405558109283447","2.4405558109283447"
"4406","","","","","","","183052","183052","183052","2.6468889713287354","2.6468889713287354","2.6468889713287354","183052","183052","183052","2.428694486618042","2.428694486618042","2.428694486618042"
"4499","","","","","","","186947","186947","186947","2.6274704933166504","2.6274704933166504","2.6274704933166504","186947","186947","186947","2.411048173904419","2.411048173904419","2.411048173904419"
"4593","","","","","","","190841","190841","190841","2.6063358783721924","2.6063358783721924","2.6063358783721924","190841","190841","190841","2.403569221496582","2.403569221496582","2.403569221496582"
"4687","","","","","","","194736","194736","194736","2.5925447940826416","2.5925447940826416","2.5925447940826416","194736","194736","194736","2.3880555629730225","2.3880555629730225","2.3880555629730225"
"4781","","","","","","","198631","198631","198631","2.5717437267303467","2.5717437267303467","2.5717437267303467","198631","198631","198631","2.3708298206329346","2.3708298206329346","2.3708298206329346"
"4874","","","","","","","202526","202526","202526","2.5600314140319824","2.5600314140319824","2.5600314140319824","202526","202526","202526","2.360004186630249","2.360004186630249","2.360004186630249"
"4968","","","","","","","206420","206420","206420","2.54465389251709","2.54465389251709","2.54465389251709","206420","206420","206420","2.340667486190796","2.340667486190796","2.340667486190796"
"5062","","","","","","","210315","210315","210315","2.51946759223938","2.51946759223938","2.51946759223938","210315","210315","210315","2.325617551803589","2.325617551803589","2.325617551803589"
"5156","","","","","","","214210","214210","214210","2.5049495697021484","2.5049495697021484","2.5049495697021484","214210","214210","214210","2.314082384109497","2.314082384109497","2.314082384109497"
"5249","","","","","","","218105","218105","218105","2.499056577682495","2.499056577682495","2.499056577682495","218105","218105","218105","2.289398431777954","2.289398431777954","2.289398431777954"
"5343","","","","","","","221999","221999","221999","2.4771554470062256","2.4771554470062256","2.4771554470062256","221999","221999","221999","2.2879581451416016","2.2879581451416016","2.2879581451416016"
"5437","","","","","","","225894","225894","225894","2.4661033153533936","2.4661033153533936","2.4661033153533936","225894","225894","225894","2.278046131134033","2.278046131134033","2.278046131134033"
"5531","","","","","","","229789","229789","229789","2.447004795074463","2.447004795074463","2.447004795074463","229789","229789","229789","2.265615701675415","2.265615701675415","2.265615701675415"
"5624","","","","","","","233684","233684","233684","2.4402740001678467","2.4402740001678467","2.4402740001678467","233684","233684","233684","2.2500526905059814","2.2500526905059814","2.2500526905059814"
