A	(A)[N]
Ae	(Ae)[N]
aalen	((Aal)[N])[V]
Aal	(Aal)[N]
aalglatt	((Aal)[N],(glatt)[A])[A]
Aar	(Aar)[N]
Aas	(Aas)[N]
Aasgeier	((Aas)[N],(Geier)[N])[N]
ab	(ab)[P]
ab	(ab)[B]
abaendern	((ab)[V|.V],(aender)[V])[V]
abaenderlich	(((ab)[V|.V],(aender)[V])[V],(lich)[A|V.])[A]
Abaenderung	(((ab)[V|.V],(aender)[V])[V],(ung)[N|V.])[N]
abandonnieren	((Abandon)[N],(ier)[V|N.])[V]
abarbeiten	((ab)[V|.V],(arbeit)[V])[V]
abarten	((ab)[V|.V],((Art)[N])[V])[V]
Abart	(((ab)[V|.V],((Art)[N])[V])[V])[N]
abartig	((((ab)[V|.V],((Art)[N])[V])[V])[N],(ig)[A|N.])[A]
Abartung	(((ab)[V|.V],((Art)[N])[V])[V],(ung)[N|V.])[N]
abaesten	((ab)[V|.V],((Ast)[N])[V])[V]
abbauen	((ab)[V|.V],(bau)[V])[V]
Abbau	(((ab)[V|.V],(bau)[V])[V])[N]
Abbaufeld	(((ab)[V|.V],(bau)[V])[V],(Feld)[N])[N]
Abbaugerechtigkeit	(((ab)[V|.V],(bau)[V])[V],(((ge)[A|.N],((recht)[A])[N])[A],(ig)[N|A.x],(keit)[N|Ax.])[N])[N]
Abbaurecht	(((ab)[V|.V],(bau)[V])[V],((recht)[A])[N])[N]
abbauwuerdig	((((ab)[V|.V],(bau)[V])[V])[N],(wuerdig)[A|N.])[A]
abbeissen	((ab)[P],(beiss)[V])[V]
abbeizen	((ab)[V|.V],((Beize)[N])[V])[V]
abbekommen	((ab)[V|.V],((be)[V|.V],(komm)[V])[V])[V]
abberufen	((ab)[V|.V],((be)[V|.V],(ruf)[V])[V])[V]
Abberufung	(((ab)[V|.V],((be)[V|.V],(ruf)[V])[V])[V],(ung)[N|V.])[N]
abbestellen	((ab)[V|.V],(bestell)[V])[V]
Abbestellung	(((ab)[V|.V],(bestell)[V])[V],(ung)[N|V.])[N]
abbezahlen	((ab)[V|.V],((be)[V|.V],(zahl)[V])[V])[V]
abbiegen	((ab)[V|.V],(bieg)[V])[V]
abbilden	((ab)[V|.V],((Bild)[N])[V])[V]
Abbild	(((ab)[V|.V],((Bild)[N])[V])[V])[N]
Abbildung	(((ab)[V|.V],((Bild)[N])[V])[V],(ung)[N|V.])[N]
abbimsen	((ab)[V|.V],(bims)[V])[V]
abbinden	((ab)[V|.V],(bind)[V])[V]
abbitten	((ab)[V|.V],(bitt)[V])[V]
Abbitte	(((ab)[V|.V],(bitt)[V])[V],(e)[N|V.])[N]
abblasen	((ab)[V|.V],(blas)[V])[V]
abblassen	((ab)[V|.V],((blass)[A])[V])[V]
abblaettern	((ab)[V|.V],((blatt)[N],(er)[V|N.])[V])[V]
abblenden	((ab)[V|.V],((blind)[A])[V])[V]
Abblendlicht	(((ab)[V|.V],((blind)[A])[V])[V],(Licht)[N])[N]
abblitzen	((ab)[V|.V],(blitz)[V])[V]
abblocken	((ab)[V|.V],((Block)[N])[V])[V]
Abbrand	((ab)[N|.N],((brenn)[V])[N])[N]
Abbraendler	(((ab)[N|.N],((brenn)[V])[N])[N],(ler)[N|N.])[N]
abbrechen	((ab)[V|.V],(brech)[V])[V]
abbremsen	((ab)[V|.V],(brems)[V])[V]
abbrennen	((ab)[V|.V],(brenn)[V])[V]
Abbreviation	((abbrevi)[R],(ation)[N|R.])[N]
Abbreviatur	((abbrevi)[R],(atur)[N|R.])[N]
abbreviieren	((abbrevi)[R],(ier)[V|R.])[V]
abbringen	((ab)[V|.V],(bring)[V])[V]
abbroeckeln	((ab)[V|.V],(((Brocken)[N])[V],(el)[V|V.])[V])[V]
Abbroeckelung	(((ab)[V|.V],(((Brocken)[N])[V],(el)[V|V.])[V])[V],(ung)[N|V.])[N]
Abbruch	(((ab)[V|.V],(brech)[V])[V])[N]
Abbrucharbeit	((((ab)[V|.V],(brech)[V])[V])[N],((arbeit)[V])[N])[N]
abbruchreif	((((ab)[V|.V],(brech)[V])[V])[N],(reif)[A|N.])[A]
abbruehen	((ab)[V|.V],(brueh)[V])[V]
abbuchen	((ab)[V|.V],(buch)[V])[V]
abbuersten	((ab)[V|.V],((Buerste)[N])[V])[V]
abchangieren	((ab)[V|.V],(changier)[V])[V]
abchecken	((ab)[V|.V],(check)[V])[V]
abdachen	((ab)[V|.N],(Dach)[N])[V]
Abdachung	(((ab)[V|.N],(Dach)[N])[V],(ung)[N|V.])[N]
abdampfen	((ab)[V|.V],(dampf)[V])[V]
abdaempfen	((ab)[V|.V],((dampf)[V])[V])[V]
Abdampf	(((ab)[V|.V],(dampf)[V])[V])[N]
Abdampfwaerme	(((ab)[V|.V],(dampf)[V])[V],((warme)[F])[N])[N]
abdanken	((ab)[V|.V],(dank)[V])[V]
Abdankung	(((ab)[V|.V],(dank)[V])[V],(ung)[N|V.])[N]
abdecken	((ab)[V|.V],(deck)[V])[V]
Abdecker	(((ab)[V|.V],(deck)[V])[V],(er)[N|V.])[N]
Abdeckerei	(((ab)[V|.V],(deck)[V])[V],(erei)[N|V.])[N]
Abdeckung	(((ab)[V|.V],(deck)[V])[V],(ung)[N|V.])[N]
Abderit	(Abderit)[N]
abderitisch	((Abderit)[N],(isch)[A|N.])[A]
abdichten	((ab)[V|.V],(dicht)[V])[V]
Abdichtung	(((ab)[V|.V],(dicht)[V])[V],(ung)[N|V.])[N]
Abdikation	((abdiz)[R],(ation)[N|R.])[N]
abdingen	((ab)[V|.V],((Ding)[N])[V])[V]
abdingbar	(((ab)[V|.V],((Ding)[N])[V])[V],(bar)[A|V.])[A]
abdominal	((Abdomen)[N],(inal)[A|N.])[A]
abdorren	((ab)[V|.V],((duerr)[A])[V])[V]
abdraengen	((ab)[V|.V],((dring)[V])[V])[V]
abdrehen	((ab)[V|.V],(dreh)[V])[V]
abdreschen	((ab)[V|.V],(dresch)[V])[V]
Abdrift	((ab)[N|.V],((treib)[V])[V])[N]
abdrosseln	((ab)[V|.V],((Drossel)[N])[V])[V]
abdruecken	((ab)[V|.V],(drueck)[V])[V]
abdrucken	((ab)[V|.V],(druck)[V])[V]
Abdruck	(((ab)[V|.V],(druck)[V])[V])[N]
abducken	((ab)[V|.V],(duck)[V])[V]
Abduktion	((abduz)[R],(ion)[N|R.])[N]
Abduktor	((abduz)[R],(or)[N|R.])[N]
abduzieren	((abduz)[R],(ier)[V|R.])[V]
abebben	((ab)[V|.V],((Ebbe)[N])[V])[V]
abeisen	((ab)[V|.V],((Eis)[N])[V])[V]
Abend	(Abend)[N]
Abendanzug	((Abend)[N],(((an)[V|.V],(zieh)[V])[V])[N])[N]
Abendbrot	((Abend)[N],(Brot)[N])[N]
Abenddaemmerung	((Abend)[N],((daemmer)[V],(ung)[N|V.])[N])[N]
